,clean_text
67,"<mark>1 million people, many of whom are under 18</mark>"
68,"<mark>Since Putins evil invasion of Ukraine, Poland has given refuge to well over 2 million people</mark>"
69,"<mark>Relevant documents Eighth Report of the Public Administration and Constitutional Affairs Committee, Preappointment hearing Chair of UK Statistics Authority, HC1162; Oral evidence taken before the Public Administration and Constitutional Affairs Committee on 29 March 2022 on the preappointment hearing for the Chair of the UKSA, HC1162</mark>"
70,"<mark> As I said in round 2 of pingpong, at the Oppositions behest, we have added provisions to the Bill that can be used to limit noise and disruptive protests outside schools and vaccination centres</mark>"
71,"<mark> The cap on care costs clause is key to this Government ending unpredictable care costs for everyone by introducing a universal £86,000 cap</mark>"
72,"<mark> Government figures show that 40,000 visas have been issued under the Homes for Ukraine scheme, yet just 6,600 Ukrainians have actually arrived in the UK, because families who need to travel together cannot do so because the visa of just one family member, often a child, is delayed</mark>"
73,<mark>Less than half of 1% of Ukrainians fleeing Putins war have so far found shelter in the United Kingdom</mark>
74,<mark> It is perhaps worth reflecting on the fact that in Scotland half of all PPE is now produced locally and that the overall costs of pandemic procurement were a third less than those of the UK</mark>
75,"<mark>The Foreign Secretary is right to encourage the freezing of assets both by ourselves and by others, but what will be the conditions for unfreezing those assets Does she agree with me that all the billions owned by the kleptocrats and oligarchs ought to be turned to good purpose in due course, because we are going to need a Marshall plan eventually to rebuild Ukraine and undo the mess as best we can that the killer Putin has imposed</mark>"
76,"<mark> We have put more sanctions on than any other nation, including on oligarchs and banks, and we have supplied everything from hundreds of Starstreak antiair missiles to ammunition</mark>"
77,"<mark> Before Putins illegal invasion, Ukraine was the bread basket of Europe along with Russia, it accounted for 30% of the global wheat supply, 20% of corn, and more than 70% of sunflower oil</mark>"
78,"<mark> In fact, 12% of all calories traded in the world come from the two nations</mark>"
79,<mark> Maize and wheat posted monthonmonth increases of nearly 20%</mark>
80,"<mark> Meanwhile, the horn of Africa is facing a worsening drought which the UN says will put 20 million people at risk</mark>"
81,<mark> Many countries in north Africa and the middle east are also vulnerable because they import more than 50% of their cereal crops</mark>
82,<mark> The Secretary of State will knowshe will no doubt have got this from the emails coming into her own constituency postbagthat there are still thousands of families saying that they want to offer a home who are still waiting to be connected by her colleague the Home Secretary</mark>
83,"<mark> In Yemen alone, there is evidence that food prices have increased by 150%</mark>"
84,"<mark>Last month the UK cohosted a donor conference with the United Nations, Qatar and Germany which raised more than £2</mark>"
85,<mark>4 billion</mark>
86,"<mark> We work through international agencies to ensure that the money reaches the people who need it, and that half of it reaches women and girls, who are particularly vulnerable in Afghanistan at the moment</mark>"
87,<mark> We committed extra billions at the spring meetings last week to help to provide food aid to the rest of the world</mark>
88,"<mark>I thank the Minister for that answer, but, since the military coup on 1 February 2021, the Myanmar military has carried out brutal crackdowns aimed at suppressing widespread public opposition to its rule, and almost half a million people have been displaced, partly due to airstrikes or the threat of them</mark>"
89,"<mark>I thank everyone on the Island who has been offering to take in Ukrainian refugees and helping out in any way with the aid effort, particularly Victoria Dunford in East Cowes, whose MADAid charity has done wonderful work in Moldova and is now helping thousands of Ukrainian refugees in that part of the world</mark>"
90,"<mark>In earlier debates on 9 and 15 March, I set out my analysisfor what it is worthof the nature of Putinism in the context of postcommunist Russia, and I do not propose to try the patience of the House by repeating all that now</mark>"
91,"<mark> Thus, he waves his shiny new intercontinental ballistic missiles at the world as if it had not been the case for the  last half century that if Russia had wished to destroy the west, or if the west had wished to destroy Russia, either could have done that within the lifetime of a day</mark>"
92,"<mark> I must say to the House that, while I praise all the efforts being made on sanctions, sanctions will not affect the outcome of this war unless and until Germany stops paying billions of euros to Russia to fund it</mark>"
93,<mark> Friend the Member for Wentworth and Dearne John Healey made about the 50% rule and about tracking down intermediaries are important questions to which the Minister should respond</mark>
94,"<mark> The Government have played a key role in organising the donation and delivery of military equipment, with the Ukrainian military now equipped with hundreds of thousands of UKsupplied military equipment</mark>"
95,"<mark> We have just heard the Foreign Secretary announce that a further 6,000 antitank weapons will be provided, and over 10,000 missiles have been provided, all amounting to the provision of approximately £450 millionworth of military equipment</mark>"
96,<mark> Reports suggest that the 2022 grain harvest is likely to be 20% lower than it was in 2021 because of reduced sowing and yields following the invasion</mark>
97,<mark> It all comes down to resilience we must make sure that we have our own  domestic foodproduction agenda to ensure our food security and increase our selfsufficiency above its current level of 63%</mark>
98,"<mark> The United Kingdom was the first European country to supply lethal aid to Ukraine, and the total amount we have spent on military support is now more than £450 million and rising every dayindeed, I had to delay the departure of my right hon</mark>"
99,"<mark> We have also delivered a further 843 antitank missiles, on top of the 5,000 sent since the war began</mark>"
100,"<mark> We have donated 167 antiair missiles, including our Starstreak high velocity antiair missiles, the fastest in the world at some 2,000 miles per hour</mark>"
101,"<mark> Well, that has gone well, hasnt it Sweden and Finland are applying for membership and Germany is at long last spending more than 2% of its GDP on defence and galvanising the alliance</mark>"
102,"<mark> We have supplied 6,000 antitank weapons and 120 armoured fighting vehicles, as well as ammunition and other weapons</mark>"
103,"<mark> We are also backfilling third countries stocksfor example, by offering to deploy British Challenger 2 tanks to Poland</mark>"
104,"<mark> So far, we have designated over 1,500 individuals and entities, including more than 100 oligarchs with assets worth over £198 billion</mark>"
105,"<mark> They have donated more than £300,000,000 to the Disasters Emergency Committee and we have had the largest ever UK Government aid match of £25 million</mark>"
106,"<mark> 1 threat that we were concerned about, and it reflected that</mark>"
107,"<mark> It reported credible evidence of torture, rape, the killing of civilians and the forced deportation of over half a million peoplescenes that we thought had been consigned to history</mark>"
108,"<mark> However, according to the whistleblowing charity Protect, just 4% of employment cases are successful, and PIDA, our worldleading legislation, is now seen as a discredited and distrusted law that has failed to protect whistleblowers or the public against wrongdoing and harm</mark>"
109,<mark> A 75% failure rate against international best standards underlines the need for change</mark>
110,<mark> The National Crime Agency reports that the cost of fraud to the UK economy is £190 billion per year</mark>
111,"<mark> To put that in perspective, in the year to 2022, planned spending for the Department of Health and Social Care in England was £190 billion</mark>"
112,"<mark> We are providing the World Service with over £90 million this year, but we have also created a Government information cell to counter Russian information and ensure that the people of Russia can access the truth</mark>"
113,"<mark> Will the Secretary of State make representations to her Saudi counterparts, on behalf of the House, to prevent such a grotesque miscarriage of justice and violation of the rights of the child</mark>"
114,<mark> We are doing everything from sending manned Challenger 2 tanks to Poland to doubling the size of our deployment  in Estonia</mark>
115,"<mark> We had issues with part 2 of the Bill, but these were mainly procedural and are, I hope, open to correction in the light of experience</mark>"
116,"<mark> Our objections to part 1 are more fundamental, and we are grateful to the other place for highlighting these in Lords amendments 1 to 5</mark>"
117,"<mark> Lords amendments 1 to 3, in the name of the noble Lord Marks, remove prospectiveonly quashing orders from the Bill</mark>"
118,<mark> It was not recommended by the independent review of administrative law that was supposed to found the basis of part 1 of the Bill</mark>
119,"<mark> That fact is given away by the clunking fist of the presumption in favour of prospective orders and of suspended orders, which clause 1 also sought to introduce</mark>"
120,"<mark> In a step bordering on the disrespectful, the Minister sought to tie the hands of the court in applying its discretionary powers, so I am delighted the Government have seen the light and do not today oppose Lords amendment 4, in the name of Lord Anderson</mark>"
121,<mark> That extracts the worst of the sting in clause 1</mark>
122,<mark> Lords amendment 5 narrows the ambit of Cart so that in the majority of cases there is no onward right of appeal</mark>
123,"<mark> All that has been argued in the other place, and votes wonalbeit narrowlyon amendments 1 and 5</mark>"
124,"<mark> We accept that that is a significant concession, and we do not intend to press any votes on the Lords amendments clauses 1 and 2 today</mark>"
125,<mark> 1736</mark>
126,"<mark>I rise to speak to Lords amendments 1, 2 and 3, all tabled by Lord Marks in the other place</mark>"
127,"<mark> Unamended, the Bill is described by the Law Society as chilling; clauses 1 and 2 undermine judicial review</mark>"
128,"<mark> I urge Members across the House to do the same and vote in favour of Lords amendments 1, 2 and 3</mark>"
129,"<mark> Given that people were being charged up to £1,200, that was a great outcome that will have made a big difference to many</mark>"
130,"<mark> The Scottish National party therefore absolutely supports the very sensible Lords amendments 1, 2 and 3</mark>"
131,"<mark> Lords amendment 4 removed the presumption, which provided that a court would have to use the new quashing order powers if they offered adequate redress and there was no good reason not to do so</mark>"
132,<mark> Lords amendments 1 to 3 remove prospective quashing orders from the Bill</mark>
133,"<mark> Member for Hammersmith Andy Slaughter for recognising that we have made a significant concession on the presumption; we, in turn, are grateful for having been enabled to bring important reforms to judicial review through clauses 1 and 2</mark>"
134,"<mark> My concern about the Lords amendments to clauses 1 and 2 is that their effect would be to go furtherI am sure that it was not intentionalthan their lordships usual role of providing close scrutiny and careful amendment, where the principle of the Bill is maintained but some of the details are altered</mark>"
135,"<mark> Member for Hammersmith Andy Slaughter, for indicating that Her Majestys Opposition would not seek Divisions on amendments to the clauses in part 1</mark>"
136,<mark> I make no apology about the provisions in clause 1</mark>
137,<mark> That is what clause 2 is all about</mark>
138,"<mark> We know that we all have hundreds of families in our constituencies who wish to take partthat is particularly the case in Stroud and Gloucestershire, because people have put their hands up quicklyso it makes no sense that the option available to families if a relationship breaks down or if there is a problem with the host is that they end up in a homelessness situation</mark>"
139,"<mark> Is it not safe to say that the only thing he succeeded in last week was getting 4,000 miles away from his BackBenchers</mark>"
140,"<mark> Products such as Scotch whisky, let alone cars, currently face tariffs of more than 100%, so there could be particular benefits for the people of Scotland in agreeing this trade deal</mark>"
141,"<mark> India is one of the worlds oldest democracies and there is a unique living bridge, including a 1</mark>"
142,"<mark>6 millionstrong Indian diaspora in the UK, that connects our countries in so many ways</mark>"
143,"<mark> It could supercharge the growth of our trading relationship, which already totalled more than £23 billion in 2019</mark>"
144,"<mark> Members would expect, nearly 100,000 sets of rations, 10 pallets of medical equipment, 3,000 pieces of body armour, nearly 8,000 helmets and 3,000 pairs of boots</mark>"
145,"<mark> This week, another 4,000 nightvision devices will also be sent to Ukraine</mark>"
146,<mark> Friend for her outstanding work across the world on the Prime Ministers behalf as his envoy on freedom of religion or belief</mark>
147,"<mark>I think the Government are to be strongly commended for all the economic sanctions work they are doing, but how can that prove effective as long as Germany is pumping billions of euros into the Russian economy week in, week out for oil and gas</mark>"
148,"<mark> UK businesses also confirmed more than £1 billion of new investments and export deals, creating almost 11,000 jobs here in the UK</mark>"
149,"<mark> Globally, we also committed up to £75 million to rolling out adaptable clean tech innovations from India to the wider IndoPacific and to Africa</mark>"
150,"<mark> 83A7,</mark>"
151,"<mark> It is estimated that some 2,000 Russian armoured vehicles, 60 aircraft, and two key naval assets have been either destroyed or captured, with around 15,000 Russian personnel reportedly killed, all as a result of Vladimir Putins arrogance</mark>"
152,"<mark> Sadly, the thousands of Ukrainians waiting for visas and their expectant hosts have seen those failings at first hand</mark>"
153,<mark> One such gap was that Ukrainians in the UK on tier 2 visas were unable to sponsor their family members to arrive under the first scheme</mark>
154,"<mark> As I have been travelling across Stirling district, an area slightly bigger than Luxembourg, I have seen hundreds of Ukrainian flags in farms, houses, cars and windows</mark>"
155,"<mark> I pay tribute to the many individuals and organisations across my constituency who have been mobilising support, fundraising and donating what they can to help refugees, and the hundreds who have offered their homes as a place of sanctuary</mark>"
156,"<mark> She left her children with friends and drove 1,500 miles to the edge of her wartorn country to pick her mother up</mark>"
157,<mark> Britain is one of the only countries that has met its NATO duty to spend 2% on defence every single year since the target was created in 2006</mark>
158,"<mark> All people have a right to freedom and democracy, including the 44 million people in Ukraine</mark>"
159,"<mark> We have supplied £220 million of funding, we are helping refugees and we are delivering food, medicine and other essentials</mark>"
160,"<mark> Our overall package of humanitarian, economic and military support is worth $2 billion</mark>"
161,<mark> Friend update the House on the £40 million support package over 10 years that was announced in 2016 for the Chagos island community</mark>
162,"<mark>I beg to move, That this House disagrees with Lords amendment 1</mark>"
163,<mark>I rise to speak chiefly to part 1 of the Bill</mark>
164,<mark> We have barred over 3 million Russian companies from raising money on our capital markets</mark>
165,"<mark> In the face of the appalling crisis in Ukraine, we have already committed £220 million of development funding, and we are one of the largest donors</mark>"
166,"<mark> We are working closely with many Commonwealth partners on global challenges such as climate and health, underpinned by over half a billion pounds of international investment</mark>"
167,"<mark>Had the Prime Minister been here today, I would have inquired of him whether, while he was in India, he impressed on the Indian Prime Minister the fact that the £2 billion increase in trade with Russia at a time when we had sanctioned it in respect of Ukraine potentially undermined  our position, and whether he tried to persuade the Prime Minister of India that that was not an acceptable route for a UK trading partner</mark>"
168,"<mark> I will ask an easy one can she tell us, for the record, about the Governments bestcase scenario of a boost to UKIndia trade from this agreement, and does it come anywhere near to touching the sides of the provenas calculated by the London School of Economics and published this morningdecline of 25% in UK exports to the EU relative to the rest of the world</mark>"
169,"<mark> We believe that this could significantly increase, and indeed supercharge, the trade between our two countries, which already totals over £23 billion</mark>"
170,"<mark> I mentioned that Scotch whisky has a tariff of over 100%, and cars do as well</mark>"
171,"<mark>During the meeting, UK and Indian businesses confirmed more than £1 billion in new investments and export deals, creating more than 11,000 jobs in the United Kingdom</mark>"
172,"<mark> I could go and vote on behalf of my stepfather by taking something that demonstrates that I am him, because I can just take it off his desk</mark>"
173,"<mark> 83A7,</mark>"
174,<mark>Channel 4 is a prized national asset that was created by Margaret Thatcher 40 years ago</mark>
175,"<mark> It puts public service before profit and continues to be sustainable, so why are the Government failing to consider its detailed plans to address their concerns The plans were set out very clearly in a document entitled 4 The Next Episode, which was provided to the Government on 28 January this year</mark>"
176,"<mark> Lady for her question and her concern, but I do not think that anything we seek to do in relation to Channel 4 would deprive lowincome families of freetoair content on it</mark>"
177,<mark> Channel 4 has made really great strides in the digital space</mark>
178,"<mark>Under private ownership, Channel 4s output will be dictated by profit rather than public service, and I share the concerns about creative risk taking and the impact on diversity when commissioning contentwould we see Derry Girls, The Last Leg and Mo Gilligan Does the Minister agree that private ownership will dilute, rather than enrich, broadcasters programming</mark>"
179,"<mark> As I said, 90% of applications submitted in that time were dealt with in six weeks</mark>"
180,"<mark> As I have said, in terms of processing times, between January and March, more than 90% of cases were completed within six weeks</mark>"
181,<mark>The cost of household food bills is set to rise by £271 this year as prices soar</mark>
182,<mark> The Resolution Foundation has reported that 1</mark>
183,"<mark>3 million lowincome Britons will be pushed into absolute poverty by the cost of living crisis, but this Government are doing nothing to protect people who are struggling</mark>"
184,"<mark>By 2025, Liberal Democrat Eastleigh Borough Council will have a debt of £650 million, which is £6,300 for every resident in Eastleigh</mark>"
185,"<mark> Labourrun Hammersmith Council spent £27,000 on EU flags three years after the referendum</mark>"
186,"<mark> The holiday activities fund, now running at £200 million, is there as well</mark>"
187,<mark>What we have done in just the last few months is put in £22 million to help people with the cost of living</mark>
188,"<mark> Member for Kensington Felicity Buchan incorrectly claimed that council tax is lower in Conservative councils; according to the Governments own live figures, the average council tax bill for a Conservative council is £1,642 while the average for a Labour council is £1,313</mark>"
189,"<mark> So, Conservative council tax billsthis is a factare £329 higher than Labour council tax bills</mark>"
190,"<mark>My Conservative council in Kensington and Chelsea charges £500 less council tax than neighbouring Labour Camden, and it has four times as many bin collections</mark>"
191,<mark> You have not misheard £500 less; four times as many</mark>
192,"<mark> Member for Gedling intervened; it looks as though only 70% of people will actually do that, so we are still looking at a number of people dropping out of the system altogether</mark>"
193,"<mark> I echo concerns that others have raised that the privatisation of Channel 4 might jeopardise its investment in communities across the UK as part of its public service remit, and its quotas relating to commissioning content in each nation of the United Kingdom</mark>"
194,"<mark> That investment has amounted to more than £77 million in Wales in the past 10 years, and supported over 200 jobs in 2019 alone</mark>"
195,<mark>Channel 4 spent £516 million on original content in 2006</mark>
196,<mark> That number fell to £329 million because advertising incomes fell at a similar pace</mark>
197,"<mark> Friend agree that unless we do something, Channel 4 is at risk of stagnating, and that we can keep a similar news remit, commitment to diversity and investment in nations and regions in a different model</mark>"
198,"<mark> In recognition of what he says, the reason that previous Secretaries of State looked at this matter was that they could see a number of trends, particularly on spend on linear advertising, that were only going in the wrong direction for a broadcaster like Channel 4, which is uniquely dependent on that spend</mark>"
199,<mark> Something like 70% of its revenues come from linear advertising spend</mark>
200,"<mark> He will be aware that a number of things can be done in terms of remit and how we engineer the sale to ensure that what is unique, distinct and valued about Channel 4 can be maintained and protected going forward</mark>"
201,"<mark> Lady is right to highlight the great investment that Channel 4 has made in Leeds, which was actually at the encouragement of previous Secretaries of State when we previously looked at the question of privatisation</mark>"
202,"<mark> In our relationship with Channel 4, we have encouraged it to seek to increase what it does in the regions and nations of our country, and we think it has done a great job of that</mark>"
203,<mark> We hope that that blend will sustain Channel 4 long into the future</mark>
204,<mark> He is right to celebrate Channel 4</mark>
205,"<mark> I welcome the interest of any company that wants to do to Channel 4 what has happened to Channel Five, with the highquality programming that it provides</mark>"
206,<mark>The Government are thinking carefully about the fundamental sustainability and future of the Channel 4 model</mark>
207,"<mark> Gentleman may be aware of two key points about Channel 4 it does not retain ownership of its intellectual property, and any borrowing it does sits on the public balance sheet</mark>"
208,"<mark> Given its dependence on linear advertising, we have concerns, looking at viewer trends, that that model will be difficult to sustain if Channel 4 is to continue to make the investment in content that I think we all want</mark>"
209,"<mark> We are therefore looking afresh at what Channel 4 needs, not only to sustain itself, but to grow</mark>"
210,"<mark>I may have my facts wrong, but as I understand it, Channel 4 is phenomenally successful</mark>"
211,"<mark> Its subscription service levels are something like a third higher than Netflixs in the UK, and All 4 is the largest subscription service in this country</mark>"
212,"<mark> Channel 4 does not cost the taxpayer anything, yet it generates £1 billion per year for the UK economy</mark>"
213,<mark> She knew so little about Channel 4 that she thought it was publicly funded and had to be corrected by a Tory colleague on camera</mark>
214,<mark> Channel 4 costs the taxpayer nothing</mark>
215,<mark> The Government hate Channel 4 News and its rigorous journalism holding Ministers  to account</mark>
216,"<mark>NewcastleunderLyme Borough Council has secured millions of pounds of Government investment for our high street, but we have a problem with persistent antisocial behaviour on the high street</mark>"
217,"<mark> More than 20 Acts of Parliament have been passed, including our National Insurance Contributions Act 2022, which will increase the thresholds from July and be worth an average of £330 a yearthe largest single personal tax cut for a decadeand our Economic Crime Transparency and Enforcement Act 2022 to respond to Putins illegal war in Ukraine</mark>"
218,"<mark>Financial scams have increased dramatically in recent years and are now the most common form of crime, harming millions of families every year</mark>"
219,"<mark> If I go to a polling station with somebody elses voting card and vote on their behalfthat is personationand that person turns up afterwards to vote for themselves, it is very unlikely to be proven that that is what has happened</mark>"
220,"<mark> There are so many peoplehundreds of thousandsacross the RUC and the armed forces who put their own lives at risk to protect others, and there is a huge difference between those who went out every day to protect life and those who went out determined to destroy lives</mark>"
221,"<mark> Over 300 officers were killed and 9,000 injured at the hands, mainly, of the IRA</mark>"
222,"<mark>Last April, the West Berkshire child and adolescent mental health services received an additional £120 million to tackle waiting times for autism and attention deficit hyperactivity disorder diagnoses</mark>"
223,<mark>Hundreds and thousands of people are still shielding</mark>
224,<mark> Evusheld gives immunocompromised people 83% protection for six months</mark>
225,"<mark> Fifth Report of the Public Administration and Constitutional Affairs Committee, The Elections Bill, HC 597, and the Governments response, HC1133; Oral evidence taken before the Public Administration and Constitutional Affairs Committee on 7 September 2021 and 14 September 2021 on the Elections Bill, HC 597; Oral evidence taken before the Public Administration and Constitutional Affairs Committee on 1 March 2022 on the work of the Department for Levelling Up, Housing and Communities, HC 1066; and Correspondence between the Chair of the Public Administration and Constitutional Affairs Committee and the Secretary of State for Levelling Up, Housing and Communities of 12 April 2022 and 25 April 2022</mark>"
226,<mark> We know from the Governments own figures that there are 2 million people without the right sort of photo ID</mark>
227,"<mark> We know that the alternative, which is forcing through photographic ID, is about a form of ID that more than 2 million voters lack, according to the Governments own figures</mark>"
228,<mark> The relevant part of the Bill is discriminatory and will disenfranchise millions of people</mark>
229,"<mark>It is a pleasure to speak in this debate, as I have at every stage of this Bill, and I am sure the Minister will agree that it is nice to be on the home stretch after so long, especially as she very bravely took over halfway through</mark>"
230,"<mark> I should like to know whether the Electoral Commission will answer that question this week rather than next week, whether it would require evidence to be gathered both by itself and by the police lest there should be a case afterwards, and whether Mr Speaker might be able to take this up at 4 pm, when he is due to have a private meeting on the Electoral Commission</mark>"
